OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
274,usa,na,NG Westminster Training Site,no,no,no,na, ,356b33c8-1b02-435a-a964-1fe94d9eb6a3,NG Westminster Training Site,act,armyNationalGuard,vt,2.19565183670056E-05,0.0258300036358816
276,usa,na,White Sands Missile Range,no,yes,no,na, ,bdb2817c-b4c1-4ec7-949e-3a0c706d8f34,White Sands Missile Range,act,usa,nm,0.888419578157027,5.1558549692754
277,usa,na,Yuma Proving Ground,no,yes,no,na, ,4a1428c1-ff53-45e4-bf7e-9fcd77c0f57d,Yuma Proving Ground,act,usa,az,0.327243029009423,4.27435828730971
279,usa,na,NG MTA Camp Butner,no,no,no,na, ,8d3ca80e-a0af-4df5-a5b3-53c72dbc028b,NG MTA Camp Butner,act,armyNationalGuard,nc,0.00199285931262239,0.214370877804254
280,usa,na,NG Springfield AVCRAD (New),no,no,no,na, ,4efef584-f2ee-43c5-87ae-71efe71519aa,NG Springfield AVCRAD (New),act,armyNationalGuard,mo,4.40853664258611E-05,0.028627885031512
281,usa,na,Muscatatuck Urban Training Center,no,yes,no,na, ,cd950341-c713-4523-8760-20fe8b089d85,Muscatatuck Urban Training Center,act,armyNationalGuard,in,0.000404582054654656,0.119487828230159
282,usa,na,NG Cambridge Springs Readiness Center and FMS 5,no,no,no,na, ,dc192aab-90b7-4118-9d6e-3cb872cbee41,NG Cambridge Springs Readiness Center and FMS 5,act,armyNationalGuard,pa,4.53423515409668E-05,0.0366524149831994
285,usa,na,NG Jackson County AFRC,no,no,no,na, ,97975644-c712-4fbe-bc6f-c98c71488a27,NG Jackson County AFRC,act,armyNationalGuard,wv,0.000151480099475521,0.0909120719993319
286,usa,na,NG Elkins AFRC,no,no,no,na, ,f81e6621-b639-4b23-acbe-c7e1d16eb287,NG Elkins AFRC,act,armyNationalGuard,wv,6.14273076280369E-05,0.0379141228057014
287,usa,na,NG Muskogee AFRC,no,no,no,na, ,6eac51ee-0710-4df1-91b9-fbfe24e3194a,NG Muskogee AFRC,act,armyNationalGuard,ok,2.34606027333939E-05,0.0229854316753854
288,usa,na,NG Clarke Range Complex,no,no,no,na, ,3faf9761-72d3-45b2-b9f4-a04a1d48ec08,NG Clarke Range Complex,act,armyNationalGuard,al,0.0087483883760342,0.423872993318527
289,usa,na,NG Collegeville FMS 4,no,no,no,na, ,f17e1a68-5024-438a-961c-5a39eebfad2f,NG Collegeville FMS 4,act,armyNationalGuard,pa,2.21427762880921E-05,0.0210470438557792
